antecedent,consequent,support,confidence,lift,antecedent_length,class
"('SFH=0', 'SSLfinal_State=-1')",Result=Legitimate,0.04990757855822551,1.0,2.470319634703196,2,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_of_Anchor=-1', 'having_IP_Address=0', 'popUpWidnow=-1')",Result=Legitimate,0.04805914972273567,1.0,2.470319634703196,5,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_of_Anchor=-1', 'age_of_domain=1')",Result=Legitimate,0.04805914972273567,1.0,2.470319634703196,4,1
"('SSLfinal_State=-1', 'URL_of_Anchor=-1', 'having_IP_Address=0', 'popUpWidnow=-1')",Result=Legitimate,0.04805914972273567,1.0,2.470319634703196,4,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_Length=0', 'URL_of_Anchor=-1', 'having_IP_Address=0')",Result=Legitimate,0.04713493530499076,1.0,2.470319634703196,5,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_Length=0', 'URL_of_Anchor=-1')",Result=Legitimate,0.04713493530499076,1.0,2.470319634703196,4,1
"('Request_URL=0', 'SSLfinal_State=-1', 'popUpWidnow=-1')",Result=Legitimate,0.04436229205175601,1.0,2.470319634703196,3,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_of_Anchor=-1', 'age_of_domain=1', 'having_IP_Address=0')",Result=Legitimate,0.04343807763401109,1.0,2.470319634703196,5,1
"('Request_URL=0', 'SFH=0', 'SSLfinal_State=-1', 'having_IP_Address=0')",Result=Legitimate,0.04343807763401109,1.0,2.470319634703196,4,1
"('SFH=0', 'SSLfinal_State=-1', 'having_IP_Address=0')",Result=Legitimate,0.04343807763401109,1.0,2.470319634703196,3,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'age_of_domain=-1', 'having_IP_Address=0')",Result=Legitimate,0.04251386321626617,1.0,2.470319634703196,5,1
"('SSLfinal_State=-1', 'URL_Length=0', 'having_IP_Address=0', 'popUpWidnow=-1')",Result=Legitimate,0.04251386321626617,1.0,2.470319634703196,4,1
"('SSLfinal_State=-1', 'URL_Length=0', 'popUpWidnow=-1')",Result=Legitimate,0.04251386321626617,1.0,2.470319634703196,3,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'URL_Length=0', 'having_IP_Address=0')",Result=Legitimate,0.03974121996303143,1.0,2.470319634703196,5,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'URL_Length=0')",Result=Legitimate,0.03974121996303143,1.0,2.470319634703196,4,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'popUpWidnow=0')",Result=Legitimate,0.038817005545286505,1.0,2.470319634703196,4,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'having_IP_Address=0', 'popUpWidnow=-1')",Result=Legitimate,0.03789279112754159,1.0,2.470319634703196,5,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'having_IP_Address=0', 'popUpWidnow=0')",Result=Legitimate,0.03789279112754159,1.0,2.470319634703196,5,1
"('Request_URL=-1', 'SFH=-1', 'URL_of_Anchor=-1', 'age_of_domain=1', 'web_traffic=0')",Result=Legitimate,0.036968576709796676,1.0,2.470319634703196,5,1
"('Request_URL=0', 'SSLfinal_State=-1', 'having_IP_Address=0', 'popUpWidnow=-1')",Result=Legitimate,0.036968576709796676,1.0,2.470319634703196,4,1
"('SSLfinal_State=-1', 'age_of_domain=-1', 'having_IP_Address=0', 'popUpWidnow=-1')",Result=Legitimate,0.036968576709796676,1.0,2.470319634703196,4,1
"('Request_URL=0', 'SSLfinal_State=-1', 'age_of_domain=1')",Result=Legitimate,0.036968576709796676,1.0,2.470319634703196,3,1
"('Request_URL=-1', 'SFH=-1', 'URL_Length=0', 'URL_of_Anchor=-1', 'age_of_domain=-1', 'having_IP_Address=0')",Result=Legitimate,0.036044362292051754,1.0,2.470319634703196,6,1
"('Request_URL=-1', 'SFH=-1', 'URL_Length=0', 'URL_of_Anchor=-1', 'age_of_domain=-1')",Result=Legitimate,0.036044362292051754,1.0,2.470319634703196,5,1
"('Request_URL=0', 'SFH=0', 'URL_of_Anchor=1', 'popUpWidnow=-1')",Result=Legitimate,0.036044362292051754,1.0,2.470319634703196,4,1
"('SFH=0', 'URL_of_Anchor=1', 'popUpWidnow=-1')",Result=Legitimate,0.036044362292051754,1.0,2.470319634703196,3,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'web_traffic=0')",Result=Legitimate,0.03512014787430684,1.0,2.470319634703196,4,1
"('SSLfinal_State=-1', 'popUpWidnow=-1', 'web_traffic=0')",Result=Legitimate,0.03512014787430684,1.0,2.470319634703196,3,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'URL_Length=0', 'URL_of_Anchor=-1', 'having_IP_Address=0')",Result=Legitimate,0.034195933456561925,1.0,2.470319634703196,6,1
"('Request_URL=-1', 'SFH=-1', 'URL_Length=0', 'URL_of_Anchor=-1', 'having_IP_Address=0', 'web_traffic=0')",Result=Legitimate,0.034195933456561925,1.0,2.470319634703196,6,1
"('Request_URL=-1', 'SFH=-1', 'URL_of_Anchor=-1', 'age_of_domain=1', 'having_IP_Address=0', 'web_traffic=0')",Result=Legitimate,0.034195933456561925,1.0,2.470319634703196,6,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'URL_Length=0', 'URL_of_Anchor=-1')",Result=Legitimate,0.034195933456561925,1.0,2.470319634703196,5,1
"('Request_URL=-1', 'SFH=-1', 'URL_Length=0', 'URL_of_Anchor=-1', 'web_traffic=0')",Result=Legitimate,0.034195933456561925,1.0,2.470319634703196,5,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'age_of_domain=1')",Result=Legitimate,0.034195933456561925,1.0,2.470319634703196,4,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'URL_of_Anchor=-1', 'age_of_domain=-1', 'having_IP_Address=0')",Result=Legitimate,0.033271719038817,1.0,2.470319634703196,6,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'age_of_domain=1', 'having_IP_Address=0')",Result=Legitimate,0.033271719038817,1.0,2.470319634703196,5,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'having_IP_Address=0', 'web_traffic=0')",Result=Legitimate,0.033271719038817,1.0,2.470319634703196,5,1
"('SFH=-1', 'URL_of_Anchor=-1', 'age_of_domain=1', 'popUpWidnow=-1', 'web_traffic=0')",Result=Legitimate,0.033271719038817,1.0,2.470319634703196,5,1
"('SFH=-1', 'SSLfinal_State=-1', 'age_of_domain=1', 'popUpWidnow=-1')",Result=Legitimate,0.033271719038817,1.0,2.470319634703196,4,1
"('Request_URL=0', 'SSLfinal_State=-1', 'URL_of_Anchor=1')",Result=Legitimate,0.033271719038817,1.0,2.470319634703196,3,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'URL_of_Anchor=-1', 'having_IP_Address=0', 'popUpWidnow=-1')",Result=Legitimate,0.03234750462107209,1.0,2.470319634703196,6,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'URL_of_Anchor=-1', 'web_traffic=0')",Result=Legitimate,0.03234750462107209,1.0,2.470319634703196,5,1
"('Request_URL=-1', 'SSLfinal_State=-1', 'URL_of_Anchor=-1', 'having_IP_Address=0', 'popUpWidnow=-1')",Result=Legitimate,0.03234750462107209,1.0,2.470319634703196,5,1
"('Request_URL=0', 'SFH=0', 'URL_of_Anchor=1', 'having_IP_Address=0', 'popUpWidnow=-1')",Result=Legitimate,0.03234750462107209,1.0,2.470319634703196,5,1
"('Request_URL=0', 'SFH=0', 'SSLfinal_State=-1', 'URL_of_Anchor=1')",Result=Legitimate,0.03234750462107209,1.0,2.470319634703196,4,1
"('Request_URL=0', 'SFH=0', 'URL_of_Anchor=1', 'age_of_domain=-1')",Result=Legitimate,0.03234750462107209,1.0,2.470319634703196,4,1
"('Request_URL=0', 'SSLfinal_State=-1', 'age_of_domain=1', 'having_IP_Address=0')",Result=Legitimate,0.03234750462107209,1.0,2.470319634703196,4,1
"('SFH=0', 'URL_of_Anchor=1', 'having_IP_Address=0', 'popUpWidnow=-1')",Result=Legitimate,0.03234750462107209,1.0,2.470319634703196,4,1
"('SFH=0', 'SSLfinal_State=-1', 'URL_of_Anchor=1')",Result=Legitimate,0.03234750462107209,1.0,2.470319634703196,3,1
"('SFH=0', 'URL_of_Anchor=1', 'age_of_domain=-1')",Result=Legitimate,0.03234750462107209,1.0,2.470319634703196,3,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'URL_Length=-1', 'having_IP_Address=0')",Result=Legitimate,0.031423290203327174,1.0,2.470319634703196,5,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'URL_of_Anchor=-1', 'popUpWidnow=0')",Result=Legitimate,0.031423290203327174,1.0,2.470319634703196,5,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'URL_Length=-1')",Result=Legitimate,0.031423290203327174,1.0,2.470319634703196,4,1
"('Request_URL=0', 'SFH=0', 'URL_Length=0', 'URL_of_Anchor=1')",Result=Legitimate,0.031423290203327174,1.0,2.470319634703196,4,1
"('SSLfinal_State=-1', 'having_IP_Address=0', 'popUpWidnow=-1', 'web_traffic=0')",Result=Legitimate,0.031423290203327174,1.0,2.470319634703196,4,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'URL_of_Anchor=-1', 'having_IP_Address=0', 'popUpWidnow=0')",Result=Legitimate,0.030499075785582256,1.0,2.470319634703196,6,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'URL_of_Anchor=-1', 'having_IP_Address=0', 'web_traffic=0')",Result=Legitimate,0.030499075785582256,1.0,2.470319634703196,6,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'URL_of_Anchor=-1', 'age_of_domain=1')",Result=Legitimate,0.030499075785582256,1.0,2.470319634703196,5,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'having_IP_Address=0', 'web_traffic=1')",Result=Legitimate,0.030499075785582256,1.0,2.470319634703196,5,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_of_Anchor=-1', 'age_of_domain=1', 'popUpWidnow=-1')",Result=Legitimate,0.030499075785582256,1.0,2.470319634703196,5,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_of_Anchor=-1', 'having_IP_Address=0', 'web_traffic=1')",Result=Legitimate,0.030499075785582256,1.0,2.470319634703196,5,1
"('Request_URL=0', 'SFH=0', 'SSLfinal_State=-1', 'age_of_domain=-1')",Result=Legitimate,0.030499075785582256,1.0,2.470319634703196,4,1
"('Request_URL=0', 'SFH=0', 'URL_of_Anchor=1', 'age_of_domain=1')",Result=Legitimate,0.030499075785582256,1.0,2.470319634703196,4,1
"('SSLfinal_State=-1', 'URL_of_Anchor=-1', 'age_of_domain=1', 'popUpWidnow=-1')",Result=Legitimate,0.030499075785582256,1.0,2.470319634703196,4,1
"('SFH=0', 'SSLfinal_State=-1', 'age_of_domain=-1')",Result=Legitimate,0.030499075785582256,1.0,2.470319634703196,3,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'URL_of_Anchor=-1', 'age_of_domain=1', 'having_IP_Address=0')",Result=Legitimate,0.029574861367837338,1.0,2.470319634703196,6,1
"('SFH=-1', 'URL_of_Anchor=-1', 'age_of_domain=1', 'having_IP_Address=0', 'popUpWidnow=-1', 'web_traffic=0')",Result=Legitimate,0.029574861367837338,1.0,2.470319634703196,6,1
"('Request_URL=0', 'SFH=0', 'SSLfinal_State=-1', 'URL_of_Anchor=1', 'having_IP_Address=0')",Result=Legitimate,0.029574861367837338,1.0,2.470319634703196,5,1
"('Request_URL=0', 'SFH=0', 'URL_Length=0', 'URL_of_Anchor=1', 'having_IP_Address=0')",Result=Legitimate,0.029574861367837338,1.0,2.470319634703196,5,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_Length=-1', 'URL_of_Anchor=-1', 'having_IP_Address=0')",Result=Legitimate,0.029574861367837338,1.0,2.470319634703196,5,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_Length=0', 'age_of_domain=-1', 'having_IP_Address=0')",Result=Legitimate,0.029574861367837338,1.0,2.470319634703196,5,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_Length=0', 'having_IP_Address=0', 'popUpWidnow=-1')",Result=Legitimate,0.029574861367837338,1.0,2.470319634703196,5,1
"('SFH=-1', 'SSLfinal_State=-1', 'age_of_domain=1', 'having_IP_Address=0', 'popUpWidnow=-1')",Result=Legitimate,0.029574861367837338,1.0,2.470319634703196,5,1
"('Request_URL=0', 'SSLfinal_State=-1', 'URL_of_Anchor=1', 'having_IP_Address=0')",Result=Legitimate,0.029574861367837338,1.0,2.470319634703196,4,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_Length=-1', 'URL_of_Anchor=-1')",Result=Legitimate,0.029574861367837338,1.0,2.470319634703196,4,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_Length=0', 'age_of_domain=-1')",Result=Legitimate,0.029574861367837338,1.0,2.470319634703196,4,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_Length=0', 'popUpWidnow=-1')",Result=Legitimate,0.029574861367837338,1.0,2.470319634703196,4,1
"('SFH=0', 'SSLfinal_State=-1', 'URL_of_Anchor=1', 'having_IP_Address=0')",Result=Legitimate,0.029574861367837338,1.0,2.470319634703196,4,1
"('Request_URL=0', 'URL_of_Anchor=1', 'web_traffic=1')",Result=Legitimate,0.029574861367837338,1.0,2.470319634703196,3,1
"('Request_URL=-1', 'SFH=-1', 'age_of_domain=1', 'popUpWidnow=-1', 'web_traffic=0')",Result=Legitimate,0.02865064695009242,1.0,2.470319634703196,5,1
"('SFH=-1', 'SSLfinal_State=-1', 'age_of_domain=1', 'web_traffic=0')",Result=Legitimate,0.02865064695009242,1.0,2.470319634703196,4,1
"('SFH=-1', 'SSLfinal_State=0', 'age_of_domain=-1', 'popUpWidnow=-1')",Result=Legitimate,0.02865064695009242,1.0,2.470319634703196,4,1
"('SSLfinal_State=-1', 'having_IP_Address=0', 'popUpWidnow=-1', 'web_traffic=1')",Result=Legitimate,0.02865064695009242,1.0,2.470319634703196,4,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_of_Anchor=-1', 'age_of_domain=1', 'having_IP_Address=0', 'popUpWidnow=-1')",Result=Legitimate,0.027726432532347505,1.0,2.470319634703196,6,1
"('SFH=-1', 'URL_Length=0', 'URL_of_Anchor=-1', 'having_IP_Address=0', 'popUpWidnow=-1', 'web_traffic=0')",Result=Legitimate,0.027726432532347505,1.0,2.470319634703196,6,1
"('Request_URL=0', 'SFH=0', 'URL_of_Anchor=1', 'age_of_domain=-1', 'having_IP_Address=0')",Result=Legitimate,0.027726432532347505,1.0,2.470319634703196,5,1
"('Request_URL=0', 'SFH=0', 'URL_of_Anchor=1', 'age_of_domain=1', 'having_IP_Address=0')",Result=Legitimate,0.027726432532347505,1.0,2.470319634703196,5,1
"('SFH=-1', 'URL_Length=0', 'URL_of_Anchor=-1', 'popUpWidnow=-1', 'web_traffic=0')",Result=Legitimate,0.027726432532347505,1.0,2.470319634703196,5,1
"('SSLfinal_State=-1', 'URL_of_Anchor=-1', 'age_of_domain=1', 'having_IP_Address=0', 'popUpWidnow=-1')",Result=Legitimate,0.027726432532347505,1.0,2.470319634703196,5,1
"('SFH=0', 'URL_of_Anchor=1', 'age_of_domain=-1', 'having_IP_Address=0')",Result=Legitimate,0.027726432532347505,1.0,2.470319634703196,4,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'age_of_domain=-1', 'having_IP_Address=0', 'web_traffic=1')",Result=Legitimate,0.026802218114602587,1.0,2.470319634703196,6,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_Length=0', 'URL_of_Anchor=-1', 'having_IP_Address=0', 'popUpWidnow=-1')",Result=Legitimate,0.026802218114602587,1.0,2.470319634703196,6,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_of_Anchor=-1', 'age_of_domain=-1', 'having_IP_Address=0', 'web_traffic=1')",Result=Legitimate,0.026802218114602587,1.0,2.470319634703196,6,1
"('Request_URL=-1', 'SFH=-1', 'URL_of_Anchor=-1', 'popUpWidnow=0', 'web_traffic=0')",Result=Legitimate,0.026802218114602587,1.0,2.470319634703196,5,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_Length=0', 'URL_of_Anchor=-1', 'popUpWidnow=-1')",Result=Legitimate,0.026802218114602587,1.0,2.470319634703196,5,1
"('SFH=-1', 'SSLfinal_State=0', 'age_of_domain=-1', 'having_IP_Address=0', 'popUpWidnow=-1')",Result=Legitimate,0.026802218114602587,1.0,2.470319634703196,5,1
"('SSLfinal_State=-1', 'URL_Length=0', 'URL_of_Anchor=-1', 'having_IP_Address=0', 'popUpWidnow=-1')",Result=Legitimate,0.026802218114602587,1.0,2.470319634703196,5,1
"('Request_URL=-1', 'SSLfinal_State=0', 'age_of_domain=-1', 'popUpWidnow=-1')",Result=Legitimate,0.026802218114602587,1.0,2.470319634703196,4,1
"('Request_URL=0', 'SFH=0', 'SSLfinal_State=-1', 'popUpWidnow=-1')",Result=Legitimate,0.026802218114602587,1.0,2.470319634703196,4,1
"('Request_URL=0', 'SFH=0', 'URL_of_Anchor=1', 'popUpWidnow=0')",Result=Legitimate,0.026802218114602587,1.0,2.470319634703196,4,1
"('Request_URL=0', 'URL_of_Anchor=1', 'age_of_domain=-1', 'web_traffic=1')",Result=Legitimate,0.026802218114602587,1.0,2.470319634703196,4,1
"('Request_URL=0', 'URL_of_Anchor=1', 'having_IP_Address=0', 'web_traffic=1')",Result=Legitimate,0.026802218114602587,1.0,2.470319634703196,4,1
"('SFH=-1', 'SSLfinal_State=-1', 'popUpWidnow=-1', 'web_traffic=0')",Result=Legitimate,0.026802218114602587,1.0,2.470319634703196,4,1
"('SSLfinal_State=-1', 'URL_Length=0', 'URL_of_Anchor=-1', 'popUpWidnow=-1')",Result=Legitimate,0.026802218114602587,1.0,2.470319634703196,4,1
"('Request_URL=0', 'URL_of_Anchor=1', 'popUpWidnow=0')",Result=Legitimate,0.026802218114602587,1.0,2.470319634703196,3,1
"('SFH=0', 'SSLfinal_State=-1', 'popUpWidnow=-1')",Result=Legitimate,0.026802218114602587,1.0,2.470319634703196,3,1
"('Request_URL=-1', 'SFH=-1', 'URL_of_Anchor=-1', 'having_IP_Address=0', 'popUpWidnow=0', 'web_traffic=0')",Result=Legitimate,0.025878003696857672,1.0,2.470319634703196,6,1
"('Request_URL=-1', 'SFH=-1', 'age_of_domain=1', 'having_IP_Address=0', 'popUpWidnow=-1', 'web_traffic=0')",Result=Legitimate,0.025878003696857672,1.0,2.470319634703196,6,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'age_of_domain=-1', 'popUpWidnow=0')",Result=Legitimate,0.025878003696857672,1.0,2.470319634703196,5,1
"('Request_URL=-1', 'SSLfinal_State=0', 'age_of_domain=-1', 'having_IP_Address=0', 'popUpWidnow=-1')",Result=Legitimate,0.025878003696857672,1.0,2.470319634703196,5,1
"('SFH=-1', 'SSLfinal_State=-1', 'age_of_domain=1', 'having_IP_Address=0', 'web_traffic=0')",Result=Legitimate,0.025878003696857672,1.0,2.470319634703196,5,1
"('SSLfinal_State=-1', 'URL_Length=-1', 'having_IP_Address=0', 'popUpWidnow=-1')",Result=Legitimate,0.025878003696857672,1.0,2.470319634703196,4,1
"('SSLfinal_State=-1', 'URL_Length=-1', 'popUpWidnow=-1')",Result=Legitimate,0.025878003696857672,1.0,2.470319634703196,3,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'age_of_domain=-1', 'having_IP_Address=0', 'popUpWidnow=0')",Result=Legitimate,0.024953789279112754,1.0,2.470319634703196,6,1
"('Request_URL=-1', 'SSLfinal_State=-1', 'URL_Length=-1', 'URL_of_Anchor=-1', 'having_IP_Address=0')",Result=Legitimate,0.024953789279112754,1.0,2.470319634703196,5,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_of_Anchor=-1', 'age_of_domain=1', 'web_traffic=0')",Result=Legitimate,0.024953789279112754,1.0,2.470319634703196,5,1
"('SFH=-1', 'SSLfinal_State=-1', 'age_of_domain=-1', 'having_IP_Address=0', 'popUpWidnow=-1')",Result=Legitimate,0.024953789279112754,1.0,2.470319634703196,5,1
"('SFH=-1', 'SSLfinal_State=0', 'having_IP_Address=0', 'popUpWidnow=-1', 'web_traffic=1')",Result=Legitimate,0.024953789279112754,1.0,2.470319634703196,5,1
"('SSLfinal_State=-1', 'URL_Length=0', 'age_of_domain=1', 'having_IP_Address=0', 'popUpWidnow=-1')",Result=Legitimate,0.024953789279112754,1.0,2.470319634703196,5,1
"('SSLfinal_State=-1', 'age_of_domain=-1', 'having_IP_Address=0', 'popUpWidnow=-1', 'web_traffic=1')",Result=Legitimate,0.024953789279112754,1.0,2.470319634703196,5,1
"('Request_URL=-1', 'SSLfinal_State=-1', 'URL_Length=-1', 'URL_of_Anchor=-1')",Result=Legitimate,0.024953789279112754,1.0,2.470319634703196,4,1
"('Request_URL=0', 'SFH=0', 'URL_of_Anchor=1', 'web_traffic=1')",Result=Legitimate,0.024953789279112754,1.0,2.470319634703196,4,1
"('SFH=-1', 'SSLfinal_State=0', 'popUpWidnow=-1', 'web_traffic=1')",Result=Legitimate,0.024953789279112754,1.0,2.470319634703196,4,1
"('SSLfinal_State=-1', 'URL_Length=0', 'age_of_domain=1', 'popUpWidnow=-1')",Result=Legitimate,0.024953789279112754,1.0,2.470319634703196,4,1
"('SSLfinal_State=-1', 'URL_of_Anchor=-1', 'age_of_domain=1', 'web_traffic=0')",Result=Legitimate,0.024953789279112754,1.0,2.470319634703196,4,1
"('SFH=0', 'URL_of_Anchor=1', 'web_traffic=1')",Result=Legitimate,0.024953789279112754,1.0,2.470319634703196,3,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'URL_Length=-1', 'URL_of_Anchor=-1', 'having_IP_Address=0')",Result=Legitimate,0.024029574861367836,1.0,2.470319634703196,6,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'URL_Length=0', 'age_of_domain=-1', 'having_IP_Address=0')",Result=Legitimate,0.024029574861367836,1.0,2.470319634703196,6,1
"('Request_URL=-1', 'SFH=-1', 'URL_of_Anchor=-1', 'age_of_domain=1', 'popUpWidnow=-1', 'web_traffic=0')",Result=Legitimate,0.024029574861367836,1.0,2.470319634703196,6,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_Length=0', 'URL_of_Anchor=-1', 'age_of_domain=-1', 'having_IP_Address=0')",Result=Legitimate,0.024029574861367836,1.0,2.470319634703196,6,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'URL_Length=-1', 'URL_of_Anchor=-1')",Result=Legitimate,0.024029574861367836,1.0,2.470319634703196,5,1
"('Request_URL=-1', 'SFH=-1', 'SSLfinal_State=-1', 'URL_Length=0', 'age_of_domain=-1')",Result=Legitimate,0.024029574861367836,1.0,2.470319634703196,5,1
"('Request_URL=0', 'SFH=0', 'SSLfinal_State=-1', 'age_of_domain=-1', 'having_IP_Address=0')",Result=Legitimate,0.024029574861367836,1.0,2.470319634703196,5,1
"('Request_URL=0', 'URL_of_Anchor=1', 'age_of_domain=-1', 'having_IP_Address=0', 'web_traffic=1')",Result=Legitimate,0.024029574861367836,1.0,2.470319634703196,5,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_Length=0', 'URL_of_Anchor=-1', 'age_of_domain=-1')",Result=Legitimate,0.024029574861367836,1.0,2.470319634703196,5,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_Length=0', 'having_IP_Address=0', 'web_traffic=0')",Result=Legitimate,0.024029574861367836,1.0,2.470319634703196,5,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_of_Anchor=-1', 'popUpWidnow=-1', 'web_traffic=0')",Result=Legitimate,0.024029574861367836,1.0,2.470319634703196,5,1
"('SFH=-1', 'SSLfinal_State=-1', 'having_IP_Address=0', 'popUpWidnow=-1', 'web_traffic=0')",Result=Legitimate,0.024029574861367836,1.0,2.470319634703196,5,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_Length=0', 'web_traffic=0')",Result=Legitimate,0.024029574861367836,1.0,2.470319634703196,4,1
"('SFH=0', 'SSLfinal_State=-1', 'age_of_domain=-1', 'having_IP_Address=0')",Result=Legitimate,0.024029574861367836,1.0,2.470319634703196,4,1
"('SSLfinal_State=-1', 'URL_of_Anchor=-1', 'popUpWidnow=-1', 'web_traffic=0')",Result=Legitimate,0.024029574861367836,1.0,2.470319634703196,4,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_Length=0', 'URL_of_Anchor=-1', 'age_of_domain=1', 'having_IP_Address=0')",Result=Legitimate,0.02310536044362292,1.0,2.470319634703196,6,1
"('SFH=-1', 'SSLfinal_State=-1', 'URL_of_Anchor=-1', 'age_of_domain=1', 'having_IP_Address=0', 'web_traffic=0')",Result=Legitimate,0.02310536044362292,1.0,2.470319634703196,6,1
"('Request_URL=-1', 'SSLfinal_State=0', 'URL_of_Anchor=-1', 'age_of_domain=-1', 'popUpWidnow=-1')",Result=Legitimate,0.02310536044362292,1.0,2.470319634703196,5,1
"('Request_URL=0', 'SFH=0', 'SSLfinal_State=-1', 'URL_Length=0', 'having_IP_Address=0')",Result=Legitimate,0.02310536044362292,1.0,2.470319634703196,5,1
